Date String (YYYY-MM-DD hh:mm:ss) UTC,Semicolon delimited list of cut sizes present,total light scattering coefficient at STP (Mm⁻¹),total light scattering coefficient at STP (Mm⁻¹),total light scattering coefficient at STP (Mm⁻¹),total light scattering coefficient at STP (Mm⁻¹),total light scattering coefficient at STP (Mm⁻¹),total light scattering coefficient at STP (Mm⁻¹),backwards hemispheric light scattering coefficient at STP (Mm⁻¹),backwards hemispheric light scattering coefficient at STP (Mm⁻¹),backwards hemispheric light scattering coefficient at STP (Mm⁻¹),backwards hemispheric light scattering coefficient at STP (Mm⁻¹),backwards hemispheric light scattering coefficient at STP (Mm⁻¹),backwards hemispheric light scattering coefficient at STP (Mm⁻¹),measurement cell temperature (°C),measurement cell temperature (°C),°C,measurement cell relative humidity (%),measurement cell relative humidity (%),humdified neph upstream RH (%),measurement cell pressure (hPa),measurement cell pressure (hPa)
DateTimeUTC,Size,BsB_S11,BsB_S12,BsG_S11,BsG_S12,BsR_S11,BsR_S12,BbsB_S11,BbsB_S12,BbsG_S11,BbsG_S12,BbsR_S11,BbsR_S12,T_S11,T_S12,T_V12,U_S11,U_S12,U_V12,P_S11,P_S12
2024-10-04 16:00:00,PM10,,,,,,,,,,,,,,,,,,,,
2024-10-04 16:01:00,PM10,0024.16,0024.05,0018.27,0017.44,0011.96,0012.41,0003.63,0003.31,0003.10,0002.94,0002.16,0002.65,029.7,027.3,027.8,030.8,043.2,048.1,0900.0,0896.5
2024-10-04 16:02:00,PM10,0026.02,0024.95,0018.17,0018.09,0012.16,0013.95,0004.00,0003.74,0003.20,0003.08,0002.63,0002.74,029.7,027.3,027.8,031.3,043.2,048.0,0900.0,0896.5
2024-10-04 16:03:00,PM10,0026.20,0025.41,0018.51,0018.34,0012.48,0013.02,0003.43,0003.61,0003.19,0003.22,0002.35,0002.23,029.7,027.3,027.8,031.4,042.9,047.5,0900.0,0896.5
2024-10-04 16:04:00,PM10,0026.55,0026.47,0019.79,0018.58,0013.07,0013.09,0004.05,0003.84,0002.66,0003.45,0002.53,0002.10,029.7,027.3,027.9,031.4,042.7,047.3,0900.0,0896.5
2024-10-04 16:05:00,PM10,0027.78,0026.36,0021.23,0019.62,0013.98,0014.09,0003.80,0004.98,0003.44,0003.75,0002.80,0002.96,029.7,027.3,027.9,031.6,042.6,047.2,0900.1,0896.5
2024-10-04 16:06:00,PM10,0027.88,0028.10,0020.28,0019.33,0013.26,0014.34,0004.11,0004.79,0003.44,0002.99,0003.02,0002.56,029.7,027.3,027.9,031.6,042.6,047.1,0900.1,0896.5
2024-10-04 16:07:00,PM10,0027.90,0028.42,0020.24,0020.24,0014.03,0013.74,0003.85,0003.95,0003.33,0003.33,0002.71,0002.95,029.7,027.3,027.8,031.6,042.3,046.8,0900.1,0896.5
2024-10-04 16:08:00,PM10,0028.28,0027.43,0020.54,0019.79,0014.13,0014.99,0004.19,0004.02,0003.96,0003.27,0002.59,0002.94,029.7,027.3,027.8,031.5,042.1,046.5,0900.1,0896.6
2024-10-04 16:09:00,PM10,0029.03,0030.14,0020.82,0019.98,0014.39,0015.79,0004.58,0004.55,0003.57,0003.50,0003.06,0002.32,029.7,027.3,027.8,031.5,042.0,046.6,0900.1,0896.6
2024-10-04 16:10:00,PM10,0029.61,0028.96,0021.73,0021.17,0014.12,0014.50,0004.84,0004.30,0003.44,0003.61,0002.86,0003.03,029.7,027.3,027.7,031.4,041.8,046.5,0900.2,0896.6
2024-10-04 16:11:00,PM10,0029.25,0028.85,0020.97,0020.60,0014.35,0013.72,0003.77,0004.21,0003.39,0003.31,0002.31,0002.60,029.7,027.3,027.7,031.4,041.8,046.6,0900.2,0896.7
2024-10-04 16:12:00,PM10,0028.54,0028.50,0020.75,0020.35,0013.83,0014.23,0003.95,0004.35,0003.37,0002.89,0002.41,0002.93,029.7,027.3,027.8,031.5,041.9,046.6,0900.2,0896.7
2024-10-04 16:13:00,PM10,0028.18,0026.99,0019.60,0019.30,0013.39,0013.84,0003.96,0003.75,0003.49,0002.79,0002.52,0002.27,029.7,027.3,027.8,031.5,042.2,047.1,0900.2,0896.7
2024-10-04 16:14:00,PM10,0026.41,0026.08,0018.67,0018.39,0013.46,0013.12,0004.32,0003.82,0003.44,0002.77,0001.98,0002.63,029.7,027.3,027.8,031.5,043.5,048.5,0900.2,0896.7
2024-10-04 16:15:00,PM10,0026.48,0026.27,0019.90,0018.69,0013.56,0013.88,0004.09,0003.85,0003.40,0003.63,0002.73,0002.28,029.7,027.3,027.8,031.8,045.5,050.9,0900.2,0896.7
2024-10-04 16:16:00,PM10,0024.80,0026.78,0017.82,0018.13,0012.74,0012.62,0003.47,0003.84,0003.37,0003.58,0002.22,0003.02,029.7,027.3,027.8,032.0,050.6,056.5,0900.2,0896.7
2024-10-04 16:17:00,PM10,0024.74,0024.05,0018.46,0018.58,0012.46,0011.79,0004.06,0003.60,0002.96,0003.73,0001.71,0002.48,029.7,027.3,027.8,032.0,052.5,058.8,0900.2,0896.7
2024-10-04 16:18:00,PM10,0023.45,0023.61,0017.19,0018.08,0011.99,0012.57,0003.65,0003.92,0002.84,0003.00,0002.10,0002.18,029.7,027.3,027.8,031.9,056.2,062.7,0900.2,0896.6
2024-10-04 16:19:00,PM10,0023.49,0023.37,0016.16,0016.87,0011.65,0011.93,0003.02,0003.31,0002.83,0002.75,0002.01,0002.75,029.7,027.3,027.8,031.8,058.9,065.8,0900.2,0896.6
2024-10-04 16:20:00,PM10,0021.58,0023.37,0015.36,0017.51,0010.77,0011.38,0003.25,0003.53,0002.74,0002.71,0002.30,0002.31,029.7,027.3,027.9,031.7,062.4,069.9,0900.1,0896.6
2024-10-04 16:21:00,PM10,0022.14,0025.42,0016.30,0017.65,0011.59,0012.69,0003.37,0003.58,0002.25,0003.01,0001.92,0002.47,029.7,027.3,027.9,031.6,064.6,072.7,0900.1,0896.6
2024-10-04 16:22:00,PM10,0022.35,0025.69,0016.84,0017.77,0011.62,0013.31,0003.44,0003.35,0003.06,0002.78,0002.43,0002.59,029.7,027.3,027.9,031.8,065.8,074.0,0900.1,0896.6
2024-10-04 16:23:00,PM10,0023.62,0026.00,0017.93,0019.83,0011.61,0013.36,0003.88,0004.26,0003.17,0002.86,0002.06,0002.66,029.7,027.3,027.9,032.2,066.8,075.5,0900.0,0896.5
2024-10-04 16:24:00,PM10,0025.01,0028.35,0017.73,0020.18,0012.55,0015.12,0003.63,0003.83,0002.74,0003.15,0002.46,0003.02,029.7,027.3,027.9,032.3,068.1,077.2,0900.0,0896.5
2024-10-04 16:25:00,PM10,0025.04,0029.54,0019.07,0021.41,0012.00,0015.21,0003.97,0003.61,0003.46,0003.36,0002.27,0003.33,029.7,027.3,027.9,032.3,069.8,079.3,0900.0,0896.5
2024-10-04 16:26:00,PM10,0026.56,0030.83,0019.45,0023.25,0012.67,0015.23,0003.75,0004.53,0003.25,0003.40,0002.64,0003.00,029.7,027.3,027.9,032.0,071.5,081.4,0900.0,0896.5
2024-10-04 16:27:00,PM10,0026.05,0030.97,0019.16,0022.37,0013.31,0016.15,0003.87,0004.30,0003.05,0003.16,0002.87,0003.16,029.7,027.3,027.9,032.1,072.1,082.5,0900.0,0896.5
2024-10-04 16:28:00,PM10,0027.69,0032.60,0020.54,0023.23,0013.65,0017.09,0004.35,0004.47,0003.40,0003.52,0002.78,0003.21,029.7,027.3,027.9,032.3,072.7,083.5,0900.0,0896.5
2024-10-04 16:29:00,PM10,0027.55,0032.63,0020.24,0023.82,0013.12,0016.86,0003.98,0004.54,0003.01,0003.51,0002.04,0011.15,029.7,027.3,027.9,032.5,073.4,084.3,0900.1,0896.5
2024-10-04 16:30:00,PM1,,,,,,,,,,,,,,,,,,,,
2024-10-04 16:31:00,PM1,0027.65,0032.27,0020.15,0023.79,0012.92,0016.28,0004.03,0004.44,0003.03,0003.58,0002.66,0003.53,029.7,027.3,027.9,031.9,074.5,084.6,0892.8,0889.3
2024-10-04 16:32:00,PM1,0029.28,0034.54,0020.60,0024.74,0013.78,0017.56,0004.35,0004.70,0003.00,0003.70,0002.27,0003.40,029.7,027.3,027.9,031.8,075.3,085.7,0892.8,0889.4
2024-10-04 16:33:00,PM1,0028.34,0034.65,0020.78,0024.80,0013.51,0017.91,0003.98,0004.53,0002.56,0003.80,0002.69,0003.16,029.7,027.3,027.9,031.7,075.2,085.3,0892.9,0889.4
2024-10-04 16:34:00,PM1,0029.24,0034.30,0021.78,0023.96,0013.99,0016.81,0004.26,0004.98,0003.66,0003.69,0002.50,0003.28,029.7,027.3,027.9,031.6,070.8,080.5,0892.8,0889.3
2024-10-04 16:35:00,PM1,0030.67,0033.59,0022.05,0024.11,0014.21,0016.41,0004.06,0004.44,0003.55,0002.46,0002.63,0003.12,029.7,027.3,027.9,031.8,070.1,079.2,0892.8,0889.4
2024-10-04 16:36:00,PM1,0029.09,0034.20,0021.56,0023.88,0013.56,0017.09,0003.92,0004.44,0003.47,0004.10,0002.47,0003.11,029.7,027.3,027.9,031.8,070.8,079.6,0892.8,0889.4
2024-10-04 16:37:00,PM1,0028.71,0033.25,0019.85,0023.01,0013.93,0016.24,0004.45,0004.66,0003.60,0004.07,0002.43,0003.39,029.7,027.3,028.0,032.1,068.3,076.6,0892.8,0889.3
2024-10-04 16:38:00,PM1,0027.45,0031.25,0020.02,0021.94,0013.21,0014.80,0003.81,0004.75,0002.92,0003.41,0002.41,0003.33,029.7,027.3,028.0,032.3,066.8,074.8,0892.8,0889.3
2024-10-04 16:39:00,PM1,0026.84,0029.94,0019.92,0020.33,0013.01,0015.62,0004.26,0003.75,0003.67,0003.59,0002.73,0001.94,029.7,027.3,028.0,032.4,066.1,073.9,0892.7,0889.2
2024-10-04 16:40:00,PM1,0026.68,0029.21,0019.18,0020.92,0013.12,0014.89,0004.24,0005.19,0003.36,0004.01,0002.52,0002.55,029.7,027.4,027.9,032.5,064.8,072.3,0892.7,0889.2
2024-10-04 16:41:00,PM1,0025.45,0028.39,0018.72,0019.84,0012.26,0012.90,0003.73,0003.84,0003.03,0004.10,0002.42,0002.38,029.7,027.4,027.9,032.5,063.1,070.3,0892.7,0889.2
2024-10-04 16:42:00,PM1,0024.81,0025.76,0017.99,0018.54,0012.21,0013.62,0004.03,0003.60,0002.27,0003.37,0002.20,0002.60,029.7,027.4,027.9,032.4,059.6,066.6,0892.7,0889.2
2024-10-04 16:43:00,PM1,0024.25,0026.07,0017.55,0018.38,0011.44,0013.15,0003.35,0003.52,0002.55,0003.32,0002.58,0002.83,029.7,027.4,027.8,032.2,056.9,063.8,0892.7,0889.2
2024-10-04 16:44:00,PM1,0023.22,0023.65,0016.36,0017.20,0011.22,0011.67,0003.05,0003.72,0003.13,0003.18,0001.95,0003.11,029.7,027.3,027.9,032.1,054.2,060.9,0892.7,0889.2
2024-10-04 16:45:00,PM1,0023.79,0023.73,0016.26,0016.00,0010.55,0011.78,0003.47,0003.57,0003.14,0003.19,0002.00,0002.20,029.7,027.4,027.8,032.0,051.6,058.3,0892.7,0889.2
2024-10-04 16:46:00,PM1,0023.28,0023.26,0017.04,0016.75,0012.23,0010.94,0003.76,0003.62,0002.91,0003.11,0002.01,0002.74,029.7,027.4,027.9,032.1,049.9,056.5,0892.7,0889.2
2024-10-04 16:47:00,PM1,0023.91,0023.50,0016.24,0017.53,0011.64,0011.99,0003.28,0003.68,0003.24,0003.02,0002.24,0002.05,029.7,027.4,027.9,032.3,048.6,055.1,0892.8,0889.3
2024-10-04 16:48:00,PM1,0024.43,0023.57,0017.72,0017.40,0011.93,0012.48,0003.90,0004.56,0003.38,0003.11,0002.72,0002.46,029.7,027.3,027.8,032.4,047.6,054.0,0892.7,0889.3
2024-10-04 16:49:00,PM1,0024.67,0024.82,0018.15,0018.84,0012.89,0012.83,0003.62,0004.29,0003.59,0003.07,0002.84,0002.89,029.6,027.3,027.8,032.5,046.7,053.0,0892.7,0889.2
2024-10-04 16:50:00,PM1,0026.48,0025.90,0019.65,0019.16,0012.61,0013.06,0003.98,0004.69,0003.21,0002.91,0002.38,0002.52,029.6,027.3,027.8,032.4,045.9,052.0,0892.7,0889.2
2024-10-04 16:51:00,PM1,0026.57,0025.82,0019.55,0019.08,0012.46,0013.93,0003.94,0004.28,0003.57,0003.67,0002.25,0002.96,029.6,027.4,027.9,032.2,045.2,050.9,0892.7,0889.2
2024-10-04 16:52:00,PM1,0025.77,0027.00,0019.58,0019.65,0012.16,0012.78,0003.74,0004.01,0003.19,0002.99,0002.25,0002.92,029.6,027.4,027.9,032.2,044.8,050.2,0892.7,0889.2
2024-10-04 16:53:00,PM1,0027.20,0026.86,0019.21,0020.18,0013.77,0012.65,0003.82,0004.04,0003.93,0003.44,0002.12,0003.43,029.6,027.4,027.9,032.3,044.5,049.6,0892.7,0889.2
2024-10-04 16:54:00,PM1,0031.02,0028.99,0022.38,0021.69,0016.17,0016.24,0004.39,0004.49,0003.55,0003.73,0003.06,0002.69,029.6,027.4,027.9,032.4,044.2,049.2,0892.7,0889.2
2024-10-04 16:55:00,PM1,0029.14,0028.98,0020.81,0021.59,0014.69,0013.99,0004.85,0004.12,0003.62,0003.37,0002.72,0002.70,029.6,027.3,027.9,032.5,044.1,049.0,0892.7,0889.2
2024-10-04 16:56:00,PM1,0028.87,0028.91,0020.66,0020.27,0014.25,0014.78,0003.83,0004.89,0003.83,0004.08,0003.40,0003.13,029.6,027.4,027.8,032.6,043.8,048.7,0892.7,0889.2
2024-10-04 16:57:00,PM1,0028.93,0029.55,0021.25,0021.37,0014.62,0014.60,0004.22,0004.03,0003.33,0003.72,0002.35,0002.56,029.6,027.4,027.8,032.6,043.6,048.6,0892.7,0889.2
2024-10-04 16:58:00,PM1,0029.39,0028.22,0021.22,0020.88,0013.27,0014.26,0004.00,0005.28,0003.16,0004.28,0002.58,0002.44,029.6,027.3,027.8,032.5,043.3,048.5,0892.7,0889.2
2024-10-04 16:59:00,PM1,0029.33,0029.16,0021.80,0020.86,0014.58,0014.86,0004.01,0004.54,0003.40,0003.20,0002.43,0002.62,029.6,027.3,027.7,032.3,043.0,048.4,0892.7,0889.2
2024-10-04 17:00:00,PM10,,,,,,,,,,,,,,,,,,,,
2024-10-04 17:01:00,PM10,0028.85,0028.77,0020.63,0020.57,0014.94,0014.28,0004.14,0004.00,0003.52,0003.44,0002.83,0002.59,029.6,027.3,027.8,032.3,042.7,047.8,0900.1,0896.6
2024-10-04 17:02:00,PM10,0028.27,0028.24,0020.93,0020.81,0013.68,0014.48,0003.96,0004.49,0002.95,0002.95,0002.84,0002.80,029.6,027.3,027.8,032.4,042.7,047.9,0900.1,0896.6
2024-10-04 17:03:00,PM10,0028.01,0028.29,0021.02,0021.02,0014.38,0014.24,0003.91,0004.16,0003.42,0003.80,0002.81,0003.37,029.6,027.3,027.8,032.5,042.8,047.9,0900.1,0896.6
2024-10-04 17:04:00,PM10,0027.18,0027.21,0019.97,0020.14,0014.16,0014.19,0004.33,0004.28,0003.29,0003.58,0002.21,0003.08,029.6,027.3,027.8,032.6,042.8,047.8,0900.1,0896.6
2024-10-04 17:05:00,PM10,0026.83,0026.12,0019.33,0019.50,0013.93,0014.29,0003.73,0003.85,0003.30,0003.17,0002.56,0003.11,029.6,027.3,027.8,032.6,042.7,047.7,0900.1,0896.6
2024-10-04 17:06:00,PM10,0024.96,0024.57,0017.54,0018.38,0012.76,0012.79,0003.91,0003.95,0003.05,0003.16,0003.05,0003.08,029.6,027.3,027.8,032.6,042.7,047.6,0900.0,0896.5
2024-10-04 17:07:00,PM10,0025.03,0024.23,0017.91,0018.03,0012.15,0011.76,0004.00,0003.91,0003.17,0002.93,0002.21,0001.85,029.6,027.3,027.8,032.6,042.7,047.6,0900.1,0896.6
2024-10-04 17:08:00,PM10,0023.72,0023.95,0017.14,0017.59,0012.25,0011.61,0003.53,0003.50,0003.29,0003.06,0002.40,0003.01,029.6,027.3,027.9,032.6,042.8,047.4,0900.1,0896.6
2024-10-04 17:09:00,PM10,0024.18,0023.05,0017.98,0017.28,0011.00,0011.95,0003.55,0003.68,0002.75,0002.59,0002.30,0002.87,029.6,027.3,027.9,032.7,042.9,047.4,0900.1,0896.6
2024-10-04 17:10:00,PM10,0023.41,0022.19,0017.20,0016.29,0011.42,0011.43,0003.32,0003.85,0002.94,0002.25,0002.20,0002.85,029.6,027.3,027.9,032.9,043.1,047.5,0900.1,0896.6
2024-10-04 17:11:00,PM10,0023.82,0023.32,0017.09,0017.65,0013.26,0013.38,0003.40,0004.10,0002.84,0002.94,0001.83,0002.54,029.6,027.3,028.0,033.1,043.3,047.6,0900.2,0896.6
2024-10-04 17:12:00,PM10,0024.72,0024.30,0018.30,0017.56,0013.14,0013.44,0004.02,0003.26,0002.96,0003.52,0003.00,0003.32,029.6,027.3,027.9,033.1,043.3,047.5,0900.1,0896.6
2024-10-04 17:13:00,PM10,0025.26,0023.75,0018.58,0018.00,0012.91,0013.90,0003.69,0004.03,0002.77,0003.33,0002.35,0002.19,029.6,027.3,027.9,033.1,043.3,047.6,0900.2,0896.7
2024-10-04 17:14:00,PM10,0025.74,0024.61,0018.69,0019.55,0012.71,0012.61,0003.54,0003.34,0002.97,0002.87,0002.50,0002.75,029.5,027.3,027.9,033.1,044.0,048.4,0900.2,0896.6
2024-10-04 17:15:00,PM10,0025.79,0025.72,0019.91,0018.85,0012.80,0014.22,0004.48,0003.85,0002.93,0002.97,0002.83,0002.69,029.5,027.3,027.9,033.1,045.9,050.7,0900.2,0896.6
2024-10-04 17:16:00,PM10,0026.68,0027.70,0019.40,0021.21,0013.68,0014.41,0003.78,0004.47,0003.25,0003.43,0002.52,0003.35,029.5,027.3,027.9,033.1,051.2,056.6,0900.1,0896.6
2024-10-04 17:17:00,PM10,0028.17,0028.58,0020.03,0020.66,0014.27,0015.37,0003.96,0004.58,0003.32,0003.93,0002.91,0002.82,029.5,027.3,027.9,033.1,052.9,059.0,0900.2,0896.6
2024-10-04 17:18:00,PM10,0029.02,0028.97,0020.70,0021.54,0014.18,0015.38,0004.29,0003.87,0003.23,0003.60,0002.48,0003.22,029.5,027.3,027.9,033.1,056.4,062.9,0900.1,0896.6
2024-10-04 17:19:00,PM10,0027.70,0029.40,0020.75,0021.11,0014.10,0015.01,0003.77,0004.02,0003.00,0003.14,0002.32,0002.69,029.5,027.3,027.8,033.1,058.9,066.0,0900.1,0896.6
2024-10-04 17:20:00,PM10,0030.87,0030.35,0021.64,0023.37,0014.36,0016.29,0004.00,0004.61,0003.67,0003.11,0002.70,0002.92,029.5,027.3,027.8,033.1,062.0,070.1,0900.1,0896.6
2024-10-04 17:21:00,PM10,0029.99,0031.34,0021.46,0023.43,0014.40,0016.37,0004.28,0004.42,0003.59,0003.73,0003.20,0003.35,029.5,027.3,027.8,033.0,064.0,072.6,0900.1,0896.6
2024-10-04 17:22:00,PM10,0028.87,0031.88,0021.36,0024.20,0014.57,0016.59,0003.77,0004.73,0003.45,0003.70,0003.20,0003.22,029.5,027.3,027.8,032.9,064.8,073.8,0900.1,0896.6
2024-10-04 17:23:00,PM10,0029.15,0032.53,0022.18,0024.13,0014.77,0016.86,0004.16,0003.73,0004.07,0003.98,0002.82,0003.08,029.5,027.3,027.8,032.8,066.1,075.4,0900.1,0896.6
2024-10-04 17:24:00,PM10,0029.78,0033.92,0022.62,0024.42,0014.98,0017.73,0004.49,0004.99,0003.94,0003.68,0002.65,0003.08,029.5,027.3,027.8,032.6,067.4,077.1,0900.1,0896.6
2024-10-04 17:25:00,PM10,0029.45,0033.76,0021.55,0024.49,0014.27,0017.52,0004.67,0005.06,0003.97,0004.08,0002.51,0003.52,029.5,027.3,027.9,032.7,069.3,079.4,0900.1,0896.5
2024-10-04 17:26:00,PM10,0028.13,0033.54,0021.86,0024.56,0014.52,0016.98,0003.65,0004.53,0003.93,0004.08,0002.69,0003.06,029.5,027.3,027.9,032.8,071.3,081.4,0900.0,0896.5
2024-10-04 17:27:00,PM10,0028.09,0032.62,0020.97,0023.43,0013.99,0017.87,0003.92,0004.18,0003.54,0004.23,0001.77,0003.08,029.5,027.3,027.9,033.0,072.0,082.5,0900.0,0896.5
2024-10-04 17:28:00,PM10,0027.33,0031.54,0019.43,0023.16,0012.94,0016.13,0003.84,0004.42,0002.92,0003.11,0002.60,0003.47,029.5,027.3,027.9,033.0,072.8,083.5,0900.0,0896.5
2024-10-04 17:29:00,PM10,0026.11,0030.18,0018.72,0022.45,0012.20,0016.03,0003.65,0004.33,0003.36,0003.74,0003.08,0002.81,029.5,027.3,027.9,032.9,074.0,084.4,0900.1,0896.5
2024-10-04 17:30:00,PM1,,,,,,,,,,,,,,,,,,,,
2024-10-04 17:31:00,PM1,0024.04,0029.25,0019.76,0020.93,0012.40,0015.61,0003.88,0004.60,0003.14,0003.38,0002.21,0002.49,029.5,027.3,028.0,032.6,075.3,084.5,0892.8,0889.3
2024-10-04 17:32:00,PM1,0023.09,0028.95,0016.49,0019.45,0011.41,0014.54,0004.00,0004.17,0002.66,0003.42,0002.32,0002.80,029.5,027.3,028.1,032.6,074.8,083.9,0892.8,0889.3
2024-10-04 17:33:00,PM1,0021.93,0026.96,0016.81,0019.42,0011.30,0013.48,0003.40,0003.89,0003.06,0003.74,0002.33,0003.14,029.5,027.3,028.1,032.7,075.3,084.0,0892.8,0889.3
2024-10-04 17:34:00,PM1,0021.64,0026.13,0015.52,0020.00,0010.50,0013.25,0003.37,0004.18,0002.67,0002.90,0002.26,0002.76,029.5,027.3,028.1,032.7,074.3,082.8,0892.8,0889.3
2024-10-04 17:35:00,PM1,0022.11,0025.08,0016.27,0018.38,0010.09,0013.06,0003.14,0003.96,0002.72,0003.41,0002.04,0002.52,029.5,027.3,028.1,032.9,071.1,079.3,0892.8,0889.3
2024-10-04 17:36:00,PM1,0023.76,0025.99,0017.10,0018.73,0011.65,0014.50,0002.97,0004.10,0002.91,0003.08,0001.82,0002.47,029.5,027.3,028.0,032.9,069.7,077.7,0892.7,0889.3
2024-10-04 17:37:00,PM1,0023.45,0025.88,0017.02,0019.57,0011.33,0013.81,0003.36,0003.78,0002.81,0003.15,0002.33,0002.73,029.5,027.4,028.0,032.8,069.9,077.7,0892.8,0889.3
2024-10-04 17:38:00,PM1,0023.24,0027.56,0017.41,0018.99,0011.97,0013.67,0003.26,0003.44,0002.99,0003.47,0002.14,0002.19,029.5,027.4,028.0,032.7,068.1,075.9,0892.8,0889.3
2024-10-04 17:39:00,PM1,0024.23,0026.02,0016.93,0019.60,0013.19,0012.62,0003.62,0004.14,0003.16,0003.76,0002.06,0002.63,029.5,027.4,027.9,032.6,066.1,073.7,0892.7,0889.2
2024-10-04 17:40:00,PM1,0025.15,0026.83,0018.00,0018.86,0011.78,0012.94,0003.22,0003.86,0003.07,0003.25,0002.33,0003.07,029.5,027.4,027.9,032.5,064.4,072.1,0892.7,0889.2
2024-10-04 17:41:00,PM1,0025.61,0027.73,0018.17,0020.34,0012.95,0013.69,0003.71,0003.99,0003.02,0003.73,0002.34,0002.55,029.5,027.4,027.9,032.5,063.3,071.1,0892.6,0889.2
2024-10-04 17:42:00,PM1,0026.15,0027.53,0018.56,0019.41,0011.70,0013.63,0003.98,0004.22,0003.06,0003.16,0002.72,0003.06,029.5,027.4,027.9,032.6,059.7,067.1,0892.5,0889.0
2024-10-04 17:43:00,PM1,0026.31,0027.72,0019.34,0019.78,0013.73,0013.48,0004.13,0003.93,0003.45,0003.22,0002.53,0002.98,029.5,027.4,027.9,032.7,056.6,063.7,0892.5,0889.0
2024-10-04 17:44:00,PM1,0028.21,0028.89,0020.41,0020.25,0013.81,0012.93,0003.59,0004.11,0002.96,0003.39,0002.53,0003.48,029.5,027.4,027.9,032.7,054.1,061.0,0892.5,0889.1
2024-10-04 17:45:00,PM1,0027.95,0029.26,0020.51,0020.58,0013.19,0014.07,0004.26,0004.30,0003.33,0003.26,0002.12,0003.77,029.5,027.4,027.8,032.7,051.9,058.7,0892.5,0889.0
2024-10-04 17:46:00,PM1,0028.56,0029.09,0020.96,0021.62,0014.32,0014.05,0003.59,0004.37,0003.43,0003.71,0002.50,0003.63,029.5,027.4,027.8,032.8,050.1,056.7,0892.4,0889.0
2024-10-04 17:47:00,PM1,0028.63,0029.04,0020.97,0021.32,0014.30,0014.50,0004.11,0004.00,0003.45,0003.38,0002.14,0002.75,029.5,027.4,027.8,032.8,048.7,055.2,0892.4,0888.9
2024-10-04 17:48:00,PM1,0029.59,0030.17,0021.99,0020.82,0014.67,0014.83,0004.63,0003.79,0003.39,0003.11,0002.70,0002.17,029.5,027.4,027.9,032.7,047.5,053.8,0892.4,0888.9
2024-10-04 17:49:00,PM1,0030.65,0029.45,0021.59,0021.66,0015.45,0014.29,0004.00,0004.85,0003.81,0003.80,0002.39,0003.40,029.5,027.4,027.9,032.7,046.6,052.8,0892.3,0888.8
2024-10-04 17:50:00,PM1,0029.00,0029.23,0021.56,0021.35,0014.62,0014.65,0004.21,0004.10,0003.45,0003.32,0002.40,0002.64,029.5,027.4,027.9,032.8,046.0,052.0,0892.3,0888.8
2024-10-04 17:51:00,PM1,0027.85,0028.59,0020.35,0020.06,0012.73,0015.00,0003.76,0004.22,0003.26,0003.45,0002.01,0003.00,029.5,027.4,027.9,032.8,045.5,051.3,0892.3,0888.8
2024-10-04 17:52:00,PM1,0027.32,0027.13,0019.38,0019.39,0013.15,0012.74,0004.33,0004.85,0003.36,0003.29,0002.14,0002.86,029.5,027.4,027.9,032.9,045.1,050.8,0892.3,0888.8
2024-10-04 17:53:00,PM1,0025.94,0024.62,0019.15,0018.32,0012.36,0012.62,0003.96,0004.30,0003.30,0002.90,0002.59,0002.31,029.5,027.4,028.0,032.8,044.7,050.2,0892.3,0888.8
2024-10-04 17:54:00,PM1,0025.88,0025.59,0018.06,0018.04,0012.46,0012.17,0003.46,0004.15,0002.67,0003.36,0002.31,0002.92,029.5,027.4,028.0,032.7,044.4,049.5,0892.3,0888.8
2024-10-04 17:55:00,PM1,0024.31,0025.46,0018.48,0018.21,0013.15,0011.60,0003.55,0003.17,0003.41,0003.54,0003.13,0002.31,029.5,027.4,028.0,032.7,044.1,049.0,0892.2,0888.8
2024-10-04 17:56:00,PM1,0024.62,0024.14,0017.76,0017.99,0012.04,0012.55,0003.80,0003.79,0003.04,0003.39,0002.38,0002.23,029.5,027.4,028.1,032.7,043.9,048.5,0892.3,0888.8
2024-10-04 17:57:00,PM1,0023.35,0023.86,0016.67,0016.67,0012.19,0011.93,0003.56,0003.45,0003.17,0002.66,0002.65,0002.66,029.5,027.4,028.1,032.7,043.8,048.2,0892.3,0888.8
2024-10-04 17:58:00,PM1,0022.99,0022.48,0016.24,0016.90,0010.44,0011.90,0003.39,0002.97,0002.90,0002.82,0002.34,0002.43,029.5,027.4,028.0,032.9,043.7,048.1,0892.2,0888.8
2024-10-04 17:59:00,PM1,0023.20,0022.34,0016.54,0016.50,0011.35,0011.21,0003.20,0003.63,0003.17,0002.97,0002.64,0002.45,029.5,027.4,028.0,033.0,043.7,048.0,0892.2,0888.8
2024-10-04 18:00:00,PM10,,,,,,,,,,,,,,,,,,,,
2024-10-04 18:01:00,PM10,,,,,,,,,,,,,029.5,027.6,027.7,035.5,045.3,049.0,0903.3,0898.8
2024-10-04 18:02:00,PM10,,,,,,,,,,,,,029.5,027.6,027.6,037.1,045.1,049.1,0903.3,0898.8
2024-10-04 18:03:00,PM10,,,,,,,,,,,,,029.5,027.6,027.6,038.6,046.3,049.2,0903.3,0898.8
2024-10-04 18:04:00,PM10,,,,,,,,,,,,,029.5,027.6,027.6,040.0,047.7,049.1,0903.3,0898.8
2024-10-04 18:05:00,PM10,,,,,,,,,,,,,029.5,027.7,027.6,041.4,049.0,049.1,0903.3,0898.8
